player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
1004473,Molly Jovic,1995-10-07,Australia,local,Wikipedia team page (Melbourne Mavericks 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Mavericks,2026-04-19,
1022295,Molly Watson,2001-12-11,,,netball.com.au player profile,https://netball.com.au/player/molly-watson,2026-04-20,
1034274,Monika 'Otai,2005-09-12,,,2025 SSN Master Sheet.ods,,2026-04-19,
1028099,Montana Holmes,1996-01-26,,,2025 SSN Master Sheet.ods,,2026-04-19,
80540,Mwai Kumwenda,1989-09-27,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Mwai_Kumwenda,2026-04-18,
80700,Nadia Loveday,,,,,,,
80007,Nadia Mapunda,1988-10-26,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Nadia_Mapunda,2026-04-17,
80033,Nardia Roselli,,,,,,,
1001846,Nat Haythornthwaite,,,,,,,
80009,Natalie Butler,,,,,,,
1028095,Natalie Sligar,,,,,,,
80014,Natalie von Bertouch,1982-12-16,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Natalie_von_Bertouch,2026-04-17,
80043,Natasha Chokljat,,,,,,,
80036,Neesha Wieser,,,,,,,
80170,Ngarama Milner-Olsen,,,,,,,
80480,Ngawai Hawera,,,,,,,
80472,Nicola Gray,,,,,,,
80526,Nicola Mackle,,,,,,,
80102,Nicola Pettit,,,,,,,
1040362,Nicole Barge,,,,,,,
1013674,Nicole Styles,,,,,,,
80135,Nikala Smith,1987-01-26,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Nikala_Smith,2026-04-17,
1015270,Nyah Allen,,,,,,,
80514,Olivia Bates,,,,,,,
80646,Olivia Coughlan,,,,,,,
1004510,Olivia Lewis,1999-04-29,Australia,local,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Olivia_Lewis_(netball),2026-04-17,
1028417,Olivia Wilkinson,2004-02-05,Australia,local,Wikipedia team page (West Coast Fever 2026 squad),https://en.wikipedia.org/wiki/West_Coast_Fever,2026-04-19,
80574,Paige Hadley,1992-08-26,Australia,local,Wikipedia team page (New South Wales Swifts 2026 squad),https://en.wikipedia.org/wiki/New_South_Wales_Swifts,2026-04-19,
80147,Pamela Cookey,,,,,,,
80058,Paula Griffin,,,,,,,
1014128,Peace Proscovia,1989-11-01,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Peace_Proscovia,2026-04-18,
80184,Peta Scholz,1976-01-17,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Peta_Scholz,2026-04-17,
80083,Peta Stephens,1978-04-15,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Peta_Stephens,2026-04-17,
80581,Peta Toeava,,,,,,,
80021,Phillipa Finch,,,,,,,
80582,Phoenix Karaka,,,,,,,
999135,Phumza Maweni,1984-09-04,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Phumza_Maweni,2026-04-18,
80453,Portia Woodman,,,,,,,
80110,Rachel Beale,,,,,,,
80137,Rachel Dunn,,,,,,,
80059,Rachel Rasmussen,,,,,,,
1013077,Rahni Samason,,,,,,,
80060,Rawinia Everitt,,,,,,,
1022298,Reilley Batcheldor,2002-05-15,Australia,local,Wikipedia team page (Melbourne Mavericks 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Mavericks,2026-04-19,
1029513,Remi Kamo,1993-11-25,,,2025 SSN Master Sheet.ods,,2026-04-19,
80045,Renae Ingles,1986-07-18,Australia,local,Famous Birthdays (netball players),https://www.famousbirthdays.com/people/renae-ingles.html,2026-04-20,
1030821,Rolene Streukter,,,,,,,
80078,Romelda Aiken-George,1988-11-19,Jamaica,import,Wikipedia team page (West Coast Fever 2026 squad),https://en.wikipedia.org/wiki/West_Coast_Fever,2026-04-19,
1016035,Ruby Bakewell-Doran,1999-01-21,Australia,local,Wikipedia team page (Queensland Firebirds 2026 squad),https://en.wikipedia.org/wiki/Queensland_Firebirds,2026-04-19,
1019167,Ruby Barkmeyer,2001-02-15,,,2025 SSN Master Sheet.ods,,2026-04-19,
1005495,Rudi Ellis,1997-08-13,Australia,local,Wikipedia team page (Melbourne Vixens 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Vixens,2026-04-19,
1027555,Ruth Aryang,2004-01-14,Australia,local,Wikipedia team page (West Coast Fever 2026 squad),https://en.wikipedia.org/wiki/West_Coast_Fever,2026-04-19,
